R3,10K,Resistors_SMD:R_0805_HandSoldering,https://www.digikey.com/product-detail/en/susumu/RR1220P-103-D/RR12P10.0KDCT-ND/432854
R4,R,Resistors_SMD:R_0805_HandSoldering,
R5,R,Resistors_SMD:R_0805_HandSoldering,
R6,10K,Resistors_SMD:R_0805_HandSoldering,https://www.digikey.com/product-detail/en/susumu/RR1220P-103-D/RR12P10.0KDCT-ND/432854
R7,1K,Resistors_SMD:R_0805_HandSoldering,https://www.digikey.com/product-detail/en/susumu/RR1220P-102-D/RR12P1.0KDCT-ND/432830
R8,1K,Resistors_SMD:R_0805_HandSoldering,https://www.digikey.com/product-detail/en/susumu/RR1220P-102-D/RR12P1.0KDCT-ND/432830
R9,1K,Resistors_SMD:R_0805_HandSoldering,https://www.digikey.com/product-detail/en/susumu/RR1220P-102-D/RR12P1.0KDCT-ND/432830
R10,10K,Resistors_SMD:R_0805_HandSoldering,https://www.digikey.com/product-detail/en/susumu/RR1220P-103-D/RR12P10.0KDCT-ND/432854
R11,10K,Resistors_SMD:R_0805_HandSoldering,https://www.digikey.com/product-detail/en/susumu/RR1220P-103-D/RR12P10.0KDCT-ND/432854
R12,1K,Resistors_SMD:R_0805_HandSoldering,https://www.digikey.com/product-detail/en/susumu/RR1220P-102-D/RR12P1.0KDCT-ND/432830
SW1,SW_Push_Dual,Buttons_Switches_THT:SW_PUSH_6mm_h4.3mm,https://www.digikey.com/product-detail/en/cw-industries/GPTS203211B/CW181-ND/3190590
U1,NCP1117-12_TO252,TO_SOT_Packages_SMD:TO-252-2,https://www.digikey.com/product-detail/en/on-semiconductor/NCP1117DT50G/NCP1117DT50GOS-ND/1483320
U2,ATMEGA32U4-AU,Housings_QFP:TQFP-44_10x10mm_Pitch0.8mm,https://www.digikey.com/product-detail/en/microchip-technology/ATMEGA32U4-AUR/ATMEGA32U4-AURCT-ND/3440960
U3,LMV358,Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm,https://www.digikey.com/product-detail/en/texas-instruments/LMV358IDGKR/296-13455-1-ND/486370
U4,LP2985-3.3,TO_SOT_Packages_SMD:SOT-23-5,https://www.digikey.com/product-detail/en/texas-instruments/LP2985-33DBVR/296-18476-1-ND/809911
Y1,16MHz,Crystals:Crystal_SMD_0603-2pin_6.0x3.5mm_HandSoldering,https://www.digikey.com/product-detail/en/abracon-llc/ABLS-16.000MHZ-B4-T/535-10226-1-ND/2184261
